Comment,Designator,Footprint,JLCPCB Part #
100n,"C1,C3,C4,C6,C10,C11,C12,C13,C14,C1,C3,C4,C6,C10,C11,C12,C13,C14",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
BSS138,"Q1,Q2,Q3",Package_TO_SOT_SMD:SOT-23,C489349
10K,"R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
AZ1117-3.3,U1,Package_TO_SOT_SMD:SOT-223,C126027
22R,"R16,R17",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C114943
22pF,"C8,C9",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1896
10uF,"C5,C2,C5,C2",Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder,C108529
8Mhz,XT1,Crystal:Crystal_SMD_HC49-SD,C107426
330R,"R1,R5",Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C245520
SW_PUSH,RESET1,RetroBitLab:SPST-7.3x3.9x2.5-WUERTH-434121025816,C318911
4.7uF,C7,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C7237
STM32F401RBTx,U2,Package_QFP:LQFP-64_10x10mm_P0.5mm,C74524
USB_A_SMD_LCSC,USB1,RetroBitLab:USB_A_M04P-F000_LCSC_C386738,C386738
RED,"D1,D4",LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C93133
